PUBCHEM_CID,cyp2c19_action,cyp2c19_warning,cyp2c19_conclusion,cyp2c19_score,cyp2d6_action,cyp2d6_warning,cyp2d6_conclusion,cyp2d6_score,cyp3a4_action,cyp3a4_warning,cyp3a4_conclusion,cyp3a4_score,cyp1a2_action,cyp1a2_warning,cyp1a2_conclusion,cyp1a2_score,cyp2c9_action,cyp2c9_warning,cyp2c9_conclusion,cyp2c9_score,Cano_Smile,XlogP
108,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)Cc1cccnc1,-0.1
178,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(N)=O,-0.9
239,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCC(=O)O,-3
248,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C[N+](C)(C)CC(=O)O,-0.1
249,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C[N+](C)(C)CC=O,-0.2
286,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NOCC(=O)O,-3.4
305,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C[N+](C)(C)CCO,-0.4
339,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCP(=O)(O)O,-4.8
500,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NC(N)=NCCCC(=O)O,-1.5
535,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NC1(C(=O)O)CC1,-2.8
546,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)CP(=O)(O)O,-2
547,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)Cc1ccc(O)c(O)c1,0.5
564,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCCCCC(=O)O,-3
750,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCC(=O)O,-3.2
774,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCc1cnc[nH]1,-0.7
787,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NO,-1.2
1023,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=P(O)(O)OP(=O)(O)O,-3.2
1045,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCCCN,-0.9
1052,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1ncc(CO)c(CN)c1O,-1
1054,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1ncc(CO)c(CO)c1O,-0.8
1123,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCS(=O)(=O)O,-4.1
1317,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCCCCCCCCCN,1.9
1329,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,89,0,0,Inactive,0,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,4
1330,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(CCC)c1=O,3.1
1342,0,0,Inactive,0,1,0,Active,61,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,c1ccc2c(N3CCNCC3)cccc2c1,2.6
1359,0,0,Inactive,0,0,0,,0,1,0,Active,88,1,0,Active,90,0,0,Inactive,0,FC(F)(F)c1ccccc1-n1ccnc1,2.6
1365,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C=CCn1c(=O)c2c(nc(-c3ccc(S(=O)(=O)O)cc3)n2C)n(C)c1=O,0.6
1370,1,0,Active,41,1,0,Active,61,1,0,Active,41,1,0,Active,84,1,0,Active,62,O=C(c1ccc2c(c1)OCO2)N1CCCCC1,2
1533,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1ccnc(N)c1,0.6
1647,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,N#CCCN,-1
1663,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,1,0,Active,42,0,0,Inactive,0,NNCc1cccc(O)c1,0
1669,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COc1cc(CCN)ccc1O,0.2
1678,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)CC[N+](=O)[O-],-0.5
1725,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,N=C(N)c1ccc(N)cc1,-0.5
1727,0,0,Inactive,0,1,0,,92,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Nc1ccncc1,0.3
1738,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COc1cc(CC(=O)O)ccc1O,0.4
1742,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,84,0,0,Inactive,0,0,0,Inactive,0,NNC(=O)c1ccc(O)cc1,-0.3
1745,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,OCc1cnc[nH]1,-0.8
1774,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1(C)CCC=[N+]1[O-],-0.3
1833,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,87,0,0,Inactive,0,COc1ccc2[nH]cc(CCN)c2c1,0.5
1845,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,83,0,0,Inactive,0,O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O,1.5
1853,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,90,0,0,Inactive,0,O=c1[nH]c2ccccc2c2ccccc12,2.5
1858,1,0,,83,0,0,Inactive,0,1,0,Active,41,1,0,Active,91,1,0,Active,42,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl,2.2
1868,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,1,0,Active,84,0,0,Inactive,0,COc1ccc2[nH]c3c(c2c1)CCNC3,1.5
1892,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,-1.2
1917,0,0,Inactive,0,0,0,Inactive,0,0,0,,0,1,0,Active,41,0,0,Inactive,0,Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O,1.6
1922,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,86,0,0,Inactive,0,Cn1c(=O)c2[nH]c(-c3ccccc3)nc2n(C)c1=O,2.2
1981,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.2
1983,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(=O)Nc1ccc(O)cc1,0.5
1986,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.3
1989,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.4
2063,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,1,0,Active,84,0,0,Inactive,0,COc1ccc(C=C(C#N)C#N)cc1,2
2082,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,88,0,0,Inactive,0,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,2.9
2123,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,86,0,0,Inactive,0,CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.7
2130,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NC12CC3CC(CC(C3)C1)C2,2.4
2141,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCCNCCSP(=O)(O)O,-4.5
2148,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Nc1ccc(C(=O)NCC(=O)O)cc1,-0.9
2151,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1c(N)c(=O)n(-c2ccccc2)n1C,0.1
2206,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1cc(=O)n(-c2ccccc2)n1C,0.4
2216,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,1.3
2230,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COC(=O)C1=CCCN(C)C1,0.3
2265,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,0.1
2266,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)CCCCCCCC(=O)O,1.6
2332,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,N=C(N)c1ccccc1,0.7
2335,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,6.7
2374,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,4.6
2392,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN1CCN(c2ccc3nc(-c4ccc5nc(-c6ccc(O)cc6)[nH]c5c4)[nH]c3c2)CC1,4
2467,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,2.3
2471,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,2.8
2554,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NC(=O)N1c2ccccc2C=Cc2ccccc21,2.5
2578,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=NN(CCCl)C(=O)NCCCl,1.5
2708,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1.7
2720,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,-0.2
2762,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,2.1
2788,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,96,0,0,Inactive,0,Oc1c(I)cc(Cl)c2cccnc12,3.5
2790,1,0,Active,41,1,0,Active,41,1,0,Active,87,1,0,Active,41,1,0,Active,41,NC(=NCc1ccc(Cl)cc1)SCCCc1cnc[nH]1,3
2794,0,0,Inactive,0,1,0,Active,84,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,7.1
2915,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCCSSCCN,-1
2966,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,N=C(N)N1CCc2ccccc2C1,0.8
2968,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.9
3055,0,0,Inactive,0,1,0,Active,90,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,4.2
3081,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1(C)OC(=O)NC1=O,0.1
3103,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,3.9
3180,0,0,Inactive,0,1,0,Active,62,0,0,Inactive,0,1,0,Active,84,1,0,Active,84,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,3.6
3202,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC[N+](C)(C)c1cccc(O)c1,1.8
3218,0,0,Inactive,0,1,0,Active,85,0,0,Inactive,0,0,0,Inactive,0,0,0,,0,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,5.4
3242,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,COc1cc(C)nc(-n2nc(C)cc2OC)n1,1.3
3278,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,87,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.8
3332,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)Cc1ccc(-c2ccccc2)cc1,3
3334,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,86,0,0,Inactive,0,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,3.6
3351,1,0,Active,43,1,0,Active,90,1,0,Active,66,1,0,Active,44,0,0,Inactive,0,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,3.2
3366,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Nc1[nH]c(=O)ncc1F,-0.9
3406,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1cn[nH]c1,1.4
3418,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)c1ccccc1OP(=O)(O)O,0
3423,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,88,1,0,Active,91,0,0,,0,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1,4.6
3440,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2
3450,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.3
3476,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,69,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,3.9
3496,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)CNCP(=O)(O)O,-4.6
3518,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NC(N)=NCCN1CCCCCCC1,0.5
3532,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)C1=CCCNC1,-2.5
3547,0,0,Inactive,0,1,0,Active,88,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1
3646,0,0,Inactive,0,1,0,Active,63,0,0,Inactive,0,1,0,Active,87,0,0,Inactive,0,COc1c2c(cc3c1OCO3)CCN(C)C2,1.6
3657,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NC(=O)NO,-1.8
3690,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=P1(NCCCl)OCCCN1CCCl,0.9
3739,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,5.5
3742,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I,2.8
3748,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)NNC(=O)c1ccncc1,0.4
3759,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,Cc1cc(C(=O)NNCc2ccccc2)no1,1.5
3765,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)C1=CCNCC1,-2.5
3773,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,O=C(O)C1CCNCC1,-3
3775,0,0,Inactive,0,1,0,Active,64,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,4.3
3802,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2,2.1
3820,0,0,Inactive,0,1,0,,88,1,0,Active,41,1,0,Active,90,0,0,Inactive,0,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,3.3
3878,0,0,Inactive,0,1,0,,83,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1.4
3885,1,0,Active,84,1,0,Active,41,1,0,Active,41,1,0,Active,85,1,0,Active,40,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,2.2
3998,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NCc1ccc(S(N)(=O)=O)cc1,-0.7
4022,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,2.7
4065,0,0,Inactive,0,1,0,Active,88,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCNC(C)(C)COC(=O)c1ccccc1,2.9
4091,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)C(=N)N=C(N)N,-1.3
4173,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1ncc([N+](=O)[O-])n1CCO,0
4189,1,0,Active,95,1,0,Active,87,1,0,Active,88,1,0,Active,87,1,0,Active,88,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.3
4306,1,0,Active,94,1,0,Active,82,1,0,Active,42,1,0,Active,84,1,0,Active,41,NCCCCCCNS(=O)(=O)c1ccc2c(Cl)cccc2c1,3.3
4342,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,0.7
4353,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(=O)NBr,0.1
