No,PUBCHEM_CID,cyp2c19_action,cyp2c19_warning,cyp2c19_conclusion,cyp2c19_score,cyp2d6_action,cyp2d6_warning,cyp2d6_conclusion,cyp2d6_score,cyp3a4_action,cyp3a4_warning,cyp3a4_conclusion,cyp3a4_score,cyp1a2_action,cyp1a2_warning,cyp1a2_conclusion,cyp1a2_score,cyp2c9_action,cyp2c9_warning,cyp2c9_conclusion,cyp2c9_score,Smile
10,6602688,1,0,Active,44,1,0,Active,44,0,0,Inactive,0,1,0,Active,47,1,0,Active,42,C1COCCN1CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=C(C=C4)Cl)Cl.Br
29,646353,1,0,Active,84,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC(=O)N1CCN(CC1)S(=O)(=O)CC2=CC=CC=C2
30,646395,1,0,Active,45,1,0,Active,41,1,0,Active,42,1,0,Active,41,1,0,Active,86,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N
33,646515,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC(=O)C(C(C1=CC(=CC=C1)N(CCO)CCO)OC(=O)C)NC(=O)C
38,646897,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,86,CN(C)C=C1C(=O)N(C(=O)N(C1=O)C2CCCCC2)C3CCCCC3
43,647205,1,0,Active,41,1,0,Active,41,1,0,Active,43,0,0,Inactive,0,1,0,Active,42,CC(C(=O)NC1CCCC1)N(C2=CC3=C(C=C2)OCCO3)C(=O)C4=C(C(=NS4)C(=O)N)N
54,647987,1,0,Active,87,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,85,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4
62,648407,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,45,0,0,Inactive,0,CCC1=NN=C(S1)NC(=O)CSC2=NN=C(N2CC3=CC=CC=C3)COC4=CC=CC=C4
63,648428,1,0,Active,43,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,1,0,Active,41,CC(C)CN1C(=CN=C1SCC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl
66,648537,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,44,1,0,Active,64,CCC1=CC2=C(N=CN=C2S1)NCCO
71,648768,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(CCC#N)CC(=O)NC1=CC=C(C=C1)NC(=O)CN(C)CCC#N
74,648878,1,0,Active,42,0,0,Inactive,0,1,0,Active,42,1,0,Active,89,1,0,Active,42,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl
75,648947,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COC1=CC(=C(C=C1)OC)NC(=O)C(CC(=O)O)NCC2=CC=CO2
