No,PUBCHEM_CID,cyp2c19_action,cyp2c19_warning,cyp2d6_action,cyp2d6_warning,cyp3a4_action,cyp3a4_warning,cyp1a2_action,cyp1a2_warning,cyp2c9_action,cyp2c9_warning,relation_task1,cyp2c9_score,Smile
1,6602638,0,0,0,1,0,0,0,0,0,1,,20,CCCC(=O)NC1=CC(=C(C=C1)N2CCN(CC2)CC)Cl.Cl
2,644510,0,1,0,1,1,0,1,0,0,1,,20,C1OC2=C(O1)C=C3C(=C2)C=C(C(=O)N3)CN(CCCO)CC4=NN=NN4CC5=CC=C(C=C5)F
3,1960010,0,1,0,0,0,1,1,0,1,0,,87,CCN1C2=CC=CC=C2C(=C3C(=O)N(C(=S)S3)CCCOC)C1=O
4,644675,1,0,0,0,1,0,1,0,0,1,,20,CC(=O)N(C1=CC2=C(C=C1)OC(=O)S2)S(=O)(=O)C3=CC=CS3
5,644851,1,0,0,1,0,1,1,0,1,0,,40,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=C3Cl
6,644890,1,0,1,0,1,0,0,1,1,0,,88,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=NC=C4
7,644968,1,0,0,1,0,1,1,0,1,0,,42,COC1=CC=CC=C1CNC(=O)CN2N=C(N=N2)C3=CC=NC=C3
8,645063,0,0,0,0,0,0,0,1,0,1,,20,CC1=CC=CC=C1NC(=O)N2CCCC2C(=O)NC3=CC=CC(=C3)NC(=O)C
9,645164,0,0,0,0,1,0,0,1,0,0,,0,CCC(C1=NN=NN1CC2CCCO2)N(CCN3CCOCC3)CC4=CC5=C(C=CC(=C5)C)NC4=O
10,6602688,1,0,1,0,0,0,1,0,1,0,,42,C1COCCN1CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=C(C=C4)Cl)Cl.Br
11,5768708,0,1,0,1,0,0,0,0,0,0,,0,COC1=CC=C(C=C1)C2C(=C(C3=CC=C(C=C3)OC)O)C(=O)C(=O)N2CCCC(=O)O
12,645323,1,0,0,1,0,1,1,0,0,1,,20,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)N)CSC3=NNC(=N3)C4=CC=CC=C4
13,645448,0,1,0,0,0,0,0,1,1,0,,40,CCC(C)(C)NC(=O)C1=CC2=C(C=C1)OC(C(=O)N2CC(=O)OC)(C)C
14,645569,0,0,0,0,0,0,0,1,0,1,,20,CCC1=CC2=C(S1)N=CNC2=O
15,645573,0,1,0,0,1,0,1,0,0,1,,20,CCN1C(=NN=C1SCC(=O)N(CC)CC)C2=CC3=CC=CC=C3C=C2O
16,645575,1,0,0,0,0,1,0,1,0,1,,20,CCOC1=CC(=C(C=C1NC(=O)C2=CC=CO2)OCC)NC(=O)C3CCCCC3
